Address,District/Arrondissement,Number of rooms,Size,Property Type,Lease_duration,Co-Living,Rent,Pets allowed
163 Avenue Montaigne,8,1,1334,Apartment,2,1,4364,0
60 Rue de Rivoli,20,3,1208,Duplex,16,1,6883,0
177 Rue de Rivoli,19,5,344,Villa,21,1,2413,0
169 Boulevard Saint-Germain,2,5,1266,Apartment,32,1,1708,1
1 Rue de la Paix,4,3,885,Duplex,29,1,2661,0
141 Rue Saint-Honoré,4,4,1873,Duplex,36,1,6536,1
175 Rue de Rivoli,8,5,1281,Apartment,36,1,5269,1
65 Avenue des Champs-Élysées,7,5,1741,Apartment,18,0,2017,0
200 Rue de Rivoli,13,1,1418,Apartment,5,0,3422,0
77 Rue de la République,10,2,1951,Apartment,10,1,3837,1
155 Boulevard Haussmann,13,3,692,Villa,8,1,4877,0
137 Boulevard Haussmann,19,4,879,Apartment,35,1,3320,0
74 Boulevard Saint-Germain,17,1,1835,Apartment,19,1,3274,0
149 Avenue Montaigne,1,3,1502,Apartment,31,1,7375,1
144 Rue du Faubourg Saint-Honoré,1,3,1026,Apartment,28,0,5219,0
7 Boulevard Saint-Germain,17,5,1737,Apartment,28,1,9011,1
152 Avenue des Champs-Élysées,6,1,1340,Apartment,20,0,1074,1
126 Rue de la Paix,16,4,1912,Duplex,28,1,3862,0
75 Rue du Faubourg Saint-Honoré,6,5,952,Apartment,10,1,6570,0
71 Rue Saint-Honoré,10,2,1426,Apartment,22,1,1128,1
183 Rue Saint-Honoré,5,1,1074,Villa,15,1,7120,0
164 Boulevard Saint-Germain,14,3,1604,Villa,11,1,1156,1
197 Boulevard Saint-Germain,18,3,1206,Villa,5,1,6809,1
93 Avenue des Champs-Élysées,5,5,1102,Apartment,8,1,3449,0
47 Rue Saint-Honoré,17,3,1200,Villa,7,0,1808,1
189 Rue du Faubourg Saint-Honoré,15,1,1598,Apartment,4,0,1387,0
137 Rue de la République,20,2,795,Apartment,1,1,2796,0
95 Rue de la République,19,2,804,Duplex,22,1,1187,1
63 Avenue des Champs-Élysées,4,1,460,Apartment,24,1,6359,1
26 Rue du Faubourg Saint-Honoré,17,1,1567,Duplex,23,1,9913,1
165 Avenue des Champs-Élysées,19,4,1210,Villa,35,0,3776,0
39 Rue de la République,6,5,747,Apartment,12,0,1962,1
58 Boulevard Saint-Germain,8,1,783,Villa,23,0,3234,1
112 Avenue Montaigne,6,1,1734,Villa,10,0,2822,0
125 Boulevard Haussmann,5,4,1344,Duplex,2,1,4122,1
158 Rue Saint-Honoré,9,2,1603,Duplex,20,0,7705,0
10 Avenue des Champs-Élysées,9,4,1354,Apartment,21,0,5730,0
147 Boulevard Saint-Germain,10,5,606,Duplex,16,0,1703,1
47 Avenue des Champs-Élysées,17,2,1927,Apartment,28,1,2309,0
134 Avenue Montaigne,18,5,627,Duplex,31,1,4578,1
149 Rue de Vaugirard,9,5,1681,Villa,20,1,7620,0
38 Rue du Faubourg Saint-Honoré,5,2,779,Apartment,11,1,4686,0
74 Rue de Rivoli,6,3,622,Villa,19,1,3196,0
144 Boulevard Saint-Germain,2,1,387,Apartment,26,0,3369,0
10 Rue de Rivoli,18,1,1478,Duplex,29,1,2828,1
3 Rue de la République,15,5,1292,Duplex,15,1,7153,0
128 Avenue des Champs-Élysées,14,3,506,Apartment,20,1,6675,0
177 Rue Saint-Honoré,9,1,1934,Duplex,1,0,5436,1
101 Rue Saint-Honoré,3,3,918,Apartment,28,0,5010,0
3 Rue de la Paix,8,2,948,Duplex,23,1,5804,1
188 Rue de la République,2,2,1954,Apartment,9,0,4201,1
147 Avenue Montaigne,13,1,1851,Apartment,15,0,2131,0
34 Avenue des Champs-Élysées,18,1,1120,Duplex,14,1,2603,1
183 Rue de la République,9,1,1707,Apartment,9,0,2682,0
55 Rue de Vaugirard,2,5,1559,Duplex,6,0,8382,0
185 Rue de Vaugirard,10,3,486,Duplex,20,1,8441,1
135 Rue de la République,4,4,1222,Duplex,28,0,7334,0
129 Rue de Rivoli,18,3,419,Villa,7,0,8612,1
