property_description,total_rooms,accomodation_size,property_size,location,rent_per_month
Saint Honoré Vendome - 1 Bedroom,2,2,72.0, 2nd Arrondissement,4320.0
Louvre - Saint Honore 2 Bedrooms,2,4,52.0, 2nd Arrondissement,5400.0
Charming Studio in Louvres/Tuileries & Palais Royal,1,2,18.0, 2nd Arrondissement,1833.0
Refurnished studio - Quartier Montorgueil,1,2,26.0, 2nd Arrondissement,2444.0
Rental Furnished Appartment - 2 Rooms - 37m² - Grands Boulevards - Lafayette,2,2,37.0, 2nd Arrondissement,2091.0
"Charming 55m² 6th Floor Apartment - Equipped, Spacious and Ideally Located",3,4,55.0, 2nd Arrondissement,4222.0
Tastefully decorated flat in the heart of the 2nd arrondissement,2,4,36.0, 2nd Arrondissement,2809.0
Charming Studio near the Grands Boulevards - 9th Arrondissement,1,2,24.0, 2nd Arrondissement,2222.0
Modern Studio Retreat: Comfortable Stay for Two,1,2,18.0, 2nd Arrondissement,2000.0
Perfect studio in popular area,1,1,22.0, 2nd Arrondissement,1917.0
"Bright, quiet top floor apartment",3,5,95.0, 2nd Arrondissement,4500.0
"Cozy 9m² Studio: Fully-Equipped, High-Speed Internet, and More",1,1,9.0, 2nd Arrondissement,1589.0
Rental Furnished Apartment - Studio - 18m² - Montorgueil,1,2,18.0, 2nd Arrondissement,1946.0
"Cozy 15m² Apartment with Mezzanine, Kitchen, and TV",1,2,15.0, 2nd Arrondissement,2000.0
Cozy apartment - Montorgueil Paris,1,2,28.0, 2nd Arrondissement,1950.0
Studio rue Montorgueil,1,1,19.0, 2nd Arrondissement,1400.0
In the heart of Paris in a quiet courtyard,2,2,61.0, 2nd Arrondissement,2500.0
"Luxury 3 bedrooms in StHonore´ Square next to Vendome, Louvre and Opera",3,6,120.0, 2nd Arrondissement,18000.0
Bright apartment near Louvre & Palais Royal,2,2,18.0, 2nd Arrondissement,2400.0
"Quiet and bright loft with nice neighbours, Paris",2,2,40.0, 2nd Arrondissement,4092.0
Very pleasant 48 m² 2-room flat,1,2,48.0, 3rd Arrondissement,3049.0
"Space, light, view, in 2 bedroom Marais + parking.",3,4,90.0, 3rd Arrondissement,4400.0
Filles du calvaire  - 1bdrm apartment,2,3,42.0, 3rd Arrondissement,2300.0
Modern and stylish 1-bedroom apartment in Le Marais,2,2,61.0, 3rd Arrondissement,3450.0
ID393 inviting 1 bedroom apartment in Rue de Turenne,2,4,60.0, 3rd Arrondissement,3400.0
Charming Marais Retreat: Central 6th-Floor Apartment with Bohemian Flair,2,4,40.0, 3rd Arrondissement,3111.0
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1,2,23.0, 3rd Arrondissement,2167.0
"Quiet, bright apartment in Le Marais",2,2,34.0, 3rd Arrondissement,1600.0
Studio 22m² - Arts et Metiers - Beaubourg,1,2,22.0, 3rd Arrondissement,1607.0
Charming studio in the Marais,1,2,21.0, 3rd Arrondissement,1500.0
Furnished flat - 1 room dans le Marais,1,2,23.0, 3rd Arrondissement,1754.0
"Charming one-bedroom apartment in the heart of Paris, near the Centre Pompidou!",2,4,36.0, 3rd Arrondissement,3450.0
Studio  32m² - Quartier de l'Horloge,1,2,32.0, 3rd Arrondissement,2201.0
Tenam - 1 room Archives (3 Arr.),2,3,59.0, 3rd Arrondissement,4178.0
Renovated studio at the heart of the Marais,1,2,24.0, 3rd Arrondissement,1910.0
ID 328 -  bright and cozy 1 bedroom loft in the 3rd arrondissement,2,3,28.0, 3rd Arrondissement,2200.0
Charming Three-Room Apartment in the Heart of Beaubourg and Le Marais,3,4,70.0, 3rd Arrondissement,5064.0
Quetzal - 1 room at Archives (3 Arr.),2,3,55.0, 3rd Arrondissement,4241.0
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2,4,45.0, 3rd Arrondissement,3500.0
Rental Furnished apartment - 2 rooms - 35m² - Arts et Metiers,2,2,35.0, 3rd Arrondissement,2400.0
Cozy Duplex Retreat for 4 Guests,2,4,41.0, 3rd Arrondissement,2617.0
Chic Le Marais Apartment with Top-Floor Views,2,2,35.0, 3rd Arrondissement,2900.0
Elegant 3-Room Furnished Apartment - 80m² - Hôtel de Ville,3,4,80.0, 3rd Arrondissement,4499.0
Tastefully decorated flat in the heart of the 2nd arrondissement,2,4,36.0, 3rd Arrondissement,2809.0
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3,4,65.0, 3rd Arrondissement,4872.0
Bright studio - le Marais,2,2,22.0, 3rd Arrondissement,2444.0
Bright studio in Rue des Rosiers / Marais,1,4,30.0, 3rd Arrondissement,2628.0
Beautiful 2-room apartment in a modern building,2,4,50.0, 3rd Arrondissement,3351.0
Superb studio - Rivoli / Hotel de ville,1,2,24.0, 3rd Arrondissement,2222.0
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1,2,35.0, 3rd Arrondissement,2278.0
Stylish 3-Bedroom Apartment in Historic Hôtel de Savourny,4,6,93.0, 3rd Arrondissement,5467.0
17m² Cozy Studio in the Heart of Paris,1,2,17.0, 3rd Arrondissement,2000.0
Cosy apartment in the heart of Paris,3,4,101.0, 3rd Arrondissement,8868.0
"Apartment of standing, family and furnished with care",3,6,120.0, 3rd Arrondissement,14400.0
Charming apartment in the heart of the Marais,2,3,66.0, 3rd Arrondissement,12000.0
Charming studio close to les Halles,1,2,22.0, 3rd Arrondissement,1956.0
"Large, comfortable flat",2,2,95.0, 3rd Arrondissement,5413.0
A little treasure in the heart of “The Marais”,3,2,35.0, 3rd Arrondissement,2300.0
Charming and light-filled 2-room apartment Paris 3rd arrondissement,2,1,35.0, 3rd Arrondissement,2750.0
Minimalist Studio Flat in the Very Heart of Le Marais,1,2,14.0, 3rd Arrondissement,1200.0
"Duplex - marais Beaubourg, Paris",2,3,50.0, 3rd Arrondissement,2990.0
Cosy and typical Paris apartment located on Ile Saint Louis,1,2,50.0, 4th Arrondissement,2200.0
"Space, light, view, in 2 bedroom Marais + parking.",3,4,90.0, 4th Arrondissement,4400.0
Very pleasant 48 m² 2-room flat,1,2,48.0, 4th Arrondissement,3049.0
Spacious 2 bedroom apartment near Notre Dame,2,4,90.0, 4th Arrondissement,4750.0
Filles du calvaire  - 1bdrm apartment,2,3,42.0, 4th Arrondissement,2300.0
Modern and stylish 1-bedroom apartment in Le Marais,2,2,61.0, 4th Arrondissement,3450.0
Charming Marais Retreat: Central 6th-Floor Apartment with Bohemian Flair,2,4,40.0, 4th Arrondissement,3111.0
Rental Furnished Appartment - Studio - 31m² - Châtelet - Les Halles,1,2,31.0, 4th Arrondissement,1848.0
DUPLEX  NOTRE DAME,2,2,50.0, 4th Arrondissement,2290.0
Furnished flat - 1 room dans le Marais,1,2,23.0, 4th Arrondissement,1754.0
Tranquil Charm in the Heart of the Latin Quarter,2,2,50.0, 4th Arrondissement,2804.0
"Charming one-bedroom apartment in the heart of Paris, near the Centre Pompidou!",2,4,36.0, 4th Arrondissement,3450.0
Tenam - 1 room Archives (3 Arr.),2,3,59.0, 4th Arrondissement,4178.0
Apartment  NOTRE DAME,2,2,35.0, 4th Arrondissement,2650.0
Renovated studio at the heart of the Marais,1,2,24.0, 4th Arrondissement,1910.0
Cosy one bedroom off Saint Paul,2,3,43.0, 4th Arrondissement,2556.0
Rental Furnished Appartment - 1 bed - 25m² - Bastille - Faubourg St Antoine- 75004,2,2,25.0, 4th Arrondissement,2086.0
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2,4,45.0, 4th Arrondissement,3500.0
Cozy Duplex Retreat for 4 Guests,2,4,41.0, 4th Arrondissement,2617.0
Studio 30m² - Hôtel de Ville - Beaubourg,1,2,30.0, 4th Arrondissement,2301.0
Chic Le Marais Apartment with Top-Floor Views,2,2,35.0, 4th Arrondissement,2900.0
"Cozy 1-Bedroom Apartment in the Heart of 5th District, Latin Quarter - Near Cardinal Lemoine Station and Panthéon",1,2,34.0, 4th Arrondissement,2900.0
Elegant 3-Room Furnished Apartment - 80m² - Hôtel de Ville,3,4,80.0, 4th Arrondissement,4499.0
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3,4,65.0, 4th Arrondissement,4872.0
Bright studio in Rue des Rosiers / Marais,1,4,30.0, 4th Arrondissement,2628.0
Beautiful 2-room apartment in a modern building,2,4,50.0, 4th Arrondissement,3351.0
Superb studio - Rivoli / Hotel de ville,1,2,24.0, 4th Arrondissement,2222.0
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1,2,35.0, 4th Arrondissement,2278.0
1 Bedroom apartment in Notre Dame,2,3,44.0, 4th Arrondissement,5746.0
Beautiful flat opposite the Tour St Jacques,2,2,56.0, 4th Arrondissement,3524.0
Stylish 3-Bedroom Apartment in Historic Hôtel de Savourny,4,6,93.0, 4th Arrondissement,5467.0
17m² Cozy Studio in the Heart of Paris,1,2,17.0, 4th Arrondissement,2000.0
Notre Dame - Galande 3 Bedrooms with AC,3,5,125.0, 4th Arrondissement,13200.0
Cosy apartment in the heart of Paris,3,4,101.0, 4th Arrondissement,8868.0
"Apartment of standing, family and furnished with care",3,6,120.0, 4th Arrondissement,14400.0
Charming apartment in the heart of the Marais,2,3,66.0, 4th Arrondissement,12000.0
Amazing Flat 1BDR - Ile Saint Louis,2,2,42.0, 4th Arrondissement,4150.0
A little treasure in the heart of “The Marais”,3,2,35.0, 4th Arrondissement,2300.0
Minimalist Studio Flat in the Very Heart of Le Marais,1,2,14.0, 4th Arrondissement,1200.0
"Ideally located studio, Ile Saint Louis",1,1,22.0, 4th Arrondissement,1900.0
Charming Apartment for Rent in the Heart of Paris - 58m²,2,4,58.0, 4th Arrondissement,6000.0
3 pieces centre de Paris 1ere,2,4,65.0, 4th Arrondissement,15000.0
Cosy and typical Paris apartment located on Ile Saint Louis,1,2,50.0, 5th Arrondissement,2200.0
Spacious 2 bedroom apartment near Notre Dame,2,4,90.0, 5th Arrondissement,4750.0
"55 m² Two-Bedroom Apartment in Saint-Germain-des-Prés, 6th Arrondissement of Paris",3,3,55.0, 5th Arrondissement,3422.0
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2,2,50.0, 5th Arrondissement,2111.0
DUPLEX  NOTRE DAME,2,2,50.0, 5th Arrondissement,2290.0
Charming apartment with unobstructed view in the heart of the 6th arrondissement,2,2,42.0, 5th Arrondissement,2591.0
APPARTEMENT  NOTRE DAME 1,2,2,39.0, 5th Arrondissement,1990.0
Tranquil Charm in the Heart of the Latin Quarter,2,2,50.0, 5th Arrondissement,2804.0
Rental Furnished Appartment - 2 Rooms - 45m² - Latin Quarter - Saint Germain de Prés - Odéon- 75005,2,2,45.0, 5th Arrondissement,2544.0
2 rooms - 40m² - Jardin des Plantes,2,2,40.0, 5th Arrondissement,2736.0
Apartment  NOTRE DAME,2,2,35.0, 5th Arrondissement,2650.0
Cozy studio - SAINT GERMAIN DES PRES / ODEON,1,2,20.0, 5th Arrondissement,1889.0
Cosy one bedroom off Saint Paul,2,3,43.0, 5th Arrondissement,2556.0
Rental Furnished Appartment - 1 bed - 25m² - Bastille - Faubourg St Antoine- 75004,2,2,25.0, 5th Arrondissement,2086.0
Superb flat located in the heart of the Saint Germain district,1,2,25.0, 5th Arrondissement,2200.0
"Cozy 1-Bedroom Apartment in the Heart of 5th District, Latin Quarter - Near Cardinal Lemoine Station and Panthéon",1,2,34.0, 5th Arrondissement,2900.0
"Cosy, central, quiet, romantic, design Flat",2,2,40.0, 5th Arrondissement,2700.0
Great & cozy studio,1,2,24.0, 5th Arrondissement,2000.0
Charming atypical studio near Jardin du Luxembourg,1,2,17.0, 5th Arrondissement,1870.0
Furnished flat rental - Tolbiac,4,7,80.0, 5th Arrondissement,4476.0
1 Bedroom apartment in Notre Dame,2,3,44.0, 5th Arrondissement,5746.0
Appartement de 53m2 situé proche du Panthéon,2,4,53.0, 5th Arrondissement,4444.0
Notre Dame - Galande 3 Bedrooms with AC,3,5,125.0, 5th Arrondissement,13200.0
Saint Germain des Prés - Prince 1 Bedroom,2,3,37.0, 5th Arrondissement,4788.0
Close to 'Jardin des Plantes',1,2,27.0, 5th Arrondissement,1750.0
Amazing Flat 1BDR - Ile Saint Louis,2,2,42.0, 5th Arrondissement,4150.0
"Ideally located studio, Ile Saint Louis",1,1,22.0, 5th Arrondissement,1900.0
Private Room in a Charming Shared Apartment near Metro and Jardin des Plantes,1,1,10.0, 5th Arrondissement,1556.0
Charming studio quartier Odeon for 2 people,2,2,15.0, 6th Arrondissement,1220.0
"55 m² Two-Bedroom Apartment in Saint-Germain-des-Prés, 6th Arrondissement of Paris",3,3,55.0, 6th Arrondissement,3422.0
Espace Intime Near Métro Odéon Paris,2,2,23.0, 6th Arrondissement,1380.0
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2,1,25.0, 6th Arrondissement,2300.0
"Élégant Appartement de Trois Pièces à Saint-Germain-des-Prés, 7ème Arrondissement, Paris",3,4,100.0, 6th Arrondissement,5133.0
Modern Comfort with Vintage Charm,2,2,50.0, 6th Arrondissement,3667.0
Charming apartment with unobstructed view in the heart of the 6th arrondissement,2,2,42.0, 6th Arrondissement,2591.0
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3,3,64.0, 6th Arrondissement,4222.0
Artistic Charm in the City Skyline - 4 rooms - 90m²,4,4,90.0, 6th Arrondissement,6224.0
2 rooms - 40m² - Jardin des Plantes,2,2,40.0, 6th Arrondissement,2736.0
"Superb flat, ideally located",2,4,50.0, 6th Arrondissement,2960.0
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2,2,35.0, 6th Arrondissement,2276.0
Cozy studio - SAINT GERMAIN DES PRES / ODEON,1,2,20.0, 6th Arrondissement,1889.0
Studio in the heart of the 7th district,1,2,24.0, 6th Arrondissement,1791.0
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2,4,28.0, 6th Arrondissement,2750.0
"Beautiful studio ""Bijou"" closed to Musée",1,2,25.0, 6th Arrondissement,2215.0
Lovely studio close to Jardin du Luxembour,1,2,35.0, 6th Arrondissement,2590.0
"54 m² Fully Renovated Apartment in the Necker District, 15th Arrondissement of Paris",2,2,54.0, 6th Arrondissement,2680.0
Chic Apartment with Stunning Views in Residential Building - St-Germain,1,2,21.0, 6th Arrondissement,2017.0
Magnificent 44m² apartment in Saint-Germain-des-Prés with view on the Eiffel Tower,2,4,44.0, 6th Arrondissement,4833.0
1 bedroom in the heart of the Latin Quarter and close to Notre Dame de Paris,2,3,60.0, 6th Arrondissement,3350.0
"Rental Furnished flat - 3 rooms, Quartier Latin - Saint Germain de Prés",3,4,55.0, 6th Arrondissement,3086.0
ID 408 Charming & cozy apt in the 7th,1,4,25.0, 6th Arrondissement,2000.0
Great & cozy studio,1,2,24.0, 6th Arrondissement,2000.0
Charming atypical studio near Jardin du Luxembourg,1,2,17.0, 6th Arrondissement,1870.0
Superb flat for 2 people ideally located in the chic Odeon district on the Rive Gauche in Paris.,2,2,72.0, 6th Arrondissement,5556.0
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3,4,55.0, 6th Arrondissement,4453.0
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3,4,70.0, 6th Arrondissement,3910.0
Saint Germain des Pres - Four 1 BD with A/C,2,2,55.0, 6th Arrondissement,5100.0
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3,4,80.0, 6th Arrondissement,6333.0
Apartment - 2 rooms- 30 sqm- Montparnasse,2,2,30.0, 6th Arrondissement,2174.0
"A sumptuous 20 m² studio apartment, nestled in the heart of one of Paris's most exclusive districts, completely refurbished",1,2,20.0, 6th Arrondissement,2111.0
Saint Germain des Prés - Penthouse View w/ AC,3,4,160.0, 6th Arrondissement,25920.0
Charming Parisian Apartment in the Heart of the Left Bank,4,5,110.0, 6th Arrondissement,10555.0
Saint Germain des Pres - Rennes II,4,6,145.0, 6th Arrondissement,28800.0
Saint Germain des Prés - Prince 1 Bedroom,2,3,37.0, 6th Arrondissement,4788.0
Quiet furnished apartment rental overlooking the garden,1,2,28.0, 6th Arrondissement,1600.0
Luxembourg - Assas - 3 Bedrooms,3,4,95.0, 6th Arrondissement,10200.0
Saint Germain Des Pres - Sevres Babylone,2,4,80.0, 6th Arrondissement,16200.0
Modern flat in quiet street,1,2,34.0, 6th Arrondissement,2910.0
Enchanting Parisian Retreat: A Cosy flat in the Heart of Saint Germain des Pres,2,2,26.0, 6th Arrondissement,3000.0
Charming apartment Louvre-Saint Germain Des Près,1,3,80.0, 6th Arrondissement,4000.0
"Great, rental flat in Saint Germain des Prés, next to Quai des Augustins - Paris",3,4,55.0, 6th Arrondissement,6600.0
"Charming, comfortable, St Germain des Prés, with AC",2,4,105.0, 6th Arrondissement,14800.0
Nice & gorgeous suite conveniently located,1,2,42.0, 7th Arrondissement,1800.0
Charming and nice home in Invalides,4,5,111.0, 7th Arrondissement,5830.0
ID 395 cozy studio in the 7th arrondissement,1,2,28.0, 7th Arrondissement,1790.0
Charming Two-Room Furnished Apartment with Eiffel Tower View,2,2,55.0, 7th Arrondissement,3842.0
Beautiful apartment with view of the Eiffel Tower,2,4,42.0, 7th Arrondissement,3000.0
Eiffel Tower haven,1,2,52.0, 7th Arrondissement,3222.0
One-bedroom apartment close to the Invalides,1,2,48.0, 7th Arrondissement,2204.0
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2,1,25.0, 7th Arrondissement,2300.0
"Élégant Appartement de Trois Pièces à Saint-Germain-des-Prés, 7ème Arrondissement, Paris",3,4,100.0, 7th Arrondissement,5133.0
Modern Comfort with Vintage Charm,2,2,50.0, 7th Arrondissement,3667.0
1-bedroom apartment close to the Eiffel Tower,2,2,55.0, 7th Arrondissement,3100.0
Artistic Charm in the City Skyline - 4 rooms - 90m²,4,4,90.0, 7th Arrondissement,6224.0
Apartment 2 rooms - 40m² - Champ de Mars,2,2,40.0, 7th Arrondissement,2998.0
Invalides - Saint Dominique 2 Bedrooms,2,4,74.0, 7th Arrondissement,7200.0
Apartment 2 rooms - 32m² - Champ de Mars,2,2,32.0, 7th Arrondissement,2321.0
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2,2,35.0, 7th Arrondissement,2276.0
Studio in the heart of the 7th district,1,2,24.0, 7th Arrondissement,1791.0
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2,4,28.0, 7th Arrondissement,2750.0
"Beautiful studio ""Bijou"" closed to Musée",1,2,25.0, 7th Arrondissement,2215.0
Fully furnished and ideally located studio,1,2,11.0, 7th Arrondissement,1728.0
"Charming 42 m² Two-Room Apartment in Paris's 7th Arrondissement, Near the Eiffel Tower",2,2,42.0, 7th Arrondissement,2566.0
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2,4,50.0, 7th Arrondissement,3490.0
Chic Apartment with Stunning Views in Residential Building - St-Germain,1,2,21.0, 7th Arrondissement,2017.0
Magnificent 44m² apartment in Saint-Germain-des-Prés with view on the Eiffel Tower,2,4,44.0, 7th Arrondissement,4833.0
Studio 20m2 near INVALIDES,1,1,20.0, 7th Arrondissement,1905.0
Charming and beautiful Studio Haven,1,2,23.0, 7th Arrondissement,2222.0
Studio Meublé Haussmannien,1,1,22.0, 7th Arrondissement,1550.0
Beautiful furnished room close to the Eiffel Tower.,1,5,18.0, 7th Arrondissement,1444.0
ID 408 Charming & cozy apt in the 7th,1,4,25.0, 7th Arrondissement,2000.0
"Ideal accommodation for students and young workers, located in a very chic and pleasant area.",2,1,18.0, 7th Arrondissement,1833.0
Superb flat for 2 people ideally located in the chic Odeon district on the Rive Gauche in Paris.,2,2,72.0, 7th Arrondissement,5556.0
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3,4,55.0, 7th Arrondissement,4453.0
"Lovely 32m² apartment in the 7th arrondissement of Paris, ideal location",2,2,32.0, 7th Arrondissement,2889.0
"Renovated Three-Room Apartment with Eiffel Tower View in Gros-Caillou, 7th Arrondissement, Paris",3,4,49.0, 7th Arrondissement,4400.0
Paris 7th: Charming Parisian Studio with Stunning Eiffel Tower View,1,2,14.0, 7th Arrondissement,2000.0
"Elegant 58 m² Three-Room Apartment, Renovated with Eiffel Tower View, in Paris's 7th Arrondissement",3,4,58.0, 7th Arrondissement,3911.0
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3,4,80.0, 7th Arrondissement,6333.0
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3,3,63.0, 7th Arrondissement,6623.0
"A sumptuous 20 m² studio apartment, nestled in the heart of one of Paris's most exclusive districts, completely refurbished",1,2,20.0, 7th Arrondissement,2111.0
Saint Germain des Prés - Penthouse View w/ AC,3,4,160.0, 7th Arrondissement,25920.0
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3,6,65.0, 7th Arrondissement,3667.0
Saint Germain des Pres - Rennes II,4,6,145.0, 7th Arrondissement,28800.0
Saint Germain Des Pres - Sevres Babylone,2,4,80.0, 7th Arrondissement,16200.0
Architect modern apartment 10 min from Eiffel Tower (with balcony),2,2,34.0, 7th Arrondissement,3400.0
Quiet flat near the Eiffel Tower,2,2,55.0, 7th Arrondissement,2778.0
Modern flat in quiet street,1,2,34.0, 7th Arrondissement,2910.0
Studio in the 7th district Invalides,1,2,30.0, 7th Arrondissement,2500.0
Charming apartment Louvre-Saint Germain Des Près,1,3,80.0, 7th Arrondissement,4000.0
Paris 15th: Private Room near Eiffel Tower,1,1,10.0, 7th Arrondissement,1444.0
Rent apartment in Paris during Olympic Games 2024,2,4,56.0, 7th Arrondissement,5000.0
Luxury apartment 1 min from Eiffel Tower,2,2,42.0, 7th Arrondissement,4850.0
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1,3,31.0, 7th Arrondissement,5000.0
Superb Haussmannian type apartment,2,3,75.0, 7th Arrondissement,3222.0
Appart EIFFEL Tower View (4pers),2,4,46.0, 7th Arrondissement,7900.0
"Charming, comfortable, St Germain des Prés, with AC",2,4,105.0, 7th Arrondissement,14800.0
Charming cozy well located apartment in Paris,1,4,35.0, 7th Arrondissement,4500.0
"Perfect, lovely studio with nice neighbours",1,2,25.0, 7th Arrondissement,1544.0
Lovely studio in residence near the Eiffel Tower,1,2,18.0, 7th Arrondissement,4375.0
Modern apartment near the Eiffel Tower,2,2,25.0, 7th Arrondissement,4650.0
STUDENT FLAT IN  BRETEUIL/INVALIDES/SEVRES LECOURBE,1,1,9.0, 7th Arrondissement,905.0
Awesome suite conveniently located,2,4,50.0, 8th Arrondissement,2650.0
apt climatisé luxury Champs Elysées,3,6,100.0, 8th Arrondissement,5730.0
Charming Renovated Apartment with Elevator in a Historic Building - Spacious 4-Bedroom Gem,5,6,157.0, 8th Arrondissement,13111.0
Charming Studio near Parc Monceau,1,2,11.0, 8th Arrondissement,1556.0
