Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
2194200,4,Housing,8,4,206.04,17,75017
3325000,4,Housing,7,4,260.41,17,75017
450000,1,Housing,2,1,37.11,15,75015
696000,1,Housing,3,1,62.94,11,75011
770000,2,Housing,3,2,52.33,17,75017
1880000,4,Housing,5,4,118.0,5,75005
550000,2,Housing,2,2,48.86,17,75017
2170000,3,Housing,5,3,153.91,16,75016
1450000,1,Housing,4,1,100.7,8,75008
2340000,2,Housing,5,2,165.02,8,75008
1425000,2,Housing,4,2,129.62,16,75016
1490000,2,Housing,5,2,109.52,13,75013
2490000,6,Housing,8,6,220.0,16,75016
1730000,3,Housing,5,3,147.0,13,75013
1550000,2,Housing,5,2,124.0,16,75016
1790000,3,Housing,4,3,91.3,6,75006
1850000,2,Housing,4,2,115.5,18,75018
2350000,3,Housing,6,3,132.25,6,75006
1650000,5,Housing,6,5,133.0,15,75015
1100000,2,Housing,3,2,99.0,17,75017
1680000,2,Housing,4,2,90.0,7,75007
2200000,5,Housing,7,5,274.95,13,75013
2100000,3,Housing,4,3,140.0,20,75020
2690000,4,Housing,6,4,161.0,6,75006
685000,1,Housing,2,1,41.89,8,75008
590000,0,Housing,2,0,41.58,6,75006
1550000,2,Housing,4,2,111.37,8,75008
1290000,3,Housing,4,3,99.0,16,75016
950000,2,Housing,4,2,66.0,17,75017
2740000,4,Housing,6,4,204.48,17,75017
1495000,2,Housing,4,2,93.34,5,75005
1030000,1,Housing,2,1,56.41,8,75008
1100000,2,Housing,3,2,47.35,6,75006
1295000,3,Housing,4,3,102.14,16,75016
1125000,0,Housing,4,0,90.06,17,75017
2520000,4,Housing,5,4,150.09,5,75005
1789000,2,Housing,4,2,101.0,7,75007
2473918,5,Housing,6,5,193.2,17,75017
2445000,3,Housing,5,3,197.8,17,75017
1790000,2,Housing,5,2,126.0,16,75016
1775000,3,Housing,4,3,111.4,7,75007
1800000,3,Housing,5,3,135.0,4,75004
730000,2,Housing,3,2,51.54,16,75016
2190000,2,Housing,5,2,142.0,16,75016
1890000,2,Housing,3,2,81.22,7,75007
932000,2,Housing,3,2,74.3,13,75013
2990000,3,Housing,4,3,90.02,7,75007
1315000,4,Housing,4,4,93.88,8,75008
621000,1,Housing,2,1,51.52,17,75017
2240000,2,Housing,5,2,182.0,8,75008
550000,1,Housing,2,1,39.0,16,75016
595000,1,Housing,2,1,48.04,16,75016
1693000,4,Housing,5,4,144.0,15,75015
2200000,5,Housing,6,5,144.0,5,75005
2250000,2,Housing,7,2,206.04,16,75016
337000,1,Housing,1,1,20.0,7,75007
2500000,4,Housing,6,4,155.22,6,75006
545000,2,Housing,2,2,37.27,18,75018
575000,1,Housing,2,1,50.54,8,75008
1195000,1,Housing,4,1,75.3,7,75007
3000000,4,Housing,7,4,201.69,6,75006
1770000,3,Housing,4,3,82.69,9,75009
505000,1,Housing,2,1,34.28,4,75004
1400000,2,Housing,4,2,91.0,15,75015
739000,1,Housing,3,1,52.85,16,75016
2485000,3,Housing,5,3,145.38,7,75007
1850000,4,Housing,5,4,128.7,5,75005
1690000,1,Housing,4,1,130.24,7,75007
1590000,3,Housing,5,3,133.57,16,75016
925000,2,Housing,4,2,87.46,11,75011
1999500,2,Housing,6,2,170.0,8,75008
1310000,2,Housing,2,2,60.32,6,75006
990000,1,Housing,2,1,57.01,1,75001
450000,1,Housing,1,1,31.44,5,75005
699000,1,Housing,2,1,43.23,8,75008
2690000,2,Housing,8,2,200.0,9,75009
2290000,0,Housing,4,0,133.61,16,75016
1590000,0,Housing,5,0,138.12,16,75016
1890000,3,Housing,5,3,144.0,15,75015
2650000,3,Housing,6,3,200.0,7,75007
2250000,4,Housing,5,4,135.0,7,75007
1876000,0,Housing,3,0,95.2,5,75005
1750000,1,Housing,5,1,129.8,3,75003
2080000,1,Housing,5,1,145.0,16,75016
2990000,7,Housing,7,7,235.65,1,75001
835000,2,Housing,3,2,51.46,1,75001
2120000,3,Housing,5,3,122.7,7,75007
1120000,1,Housing,4,1,85.0,4,75004
525000,0,Housing,2,0,34.35,16,75016
870000,2,Housing,3,2,64.82,7,75007
1650000,3,Housing,3,3,96.0,16,75016
2170000,4,Housing,3,4,86.35,6,75006
990000,0,Housing,4,0,66.0,16,75016
980000,1,Housing,3,1,65.38,4,75004
2980000,3,Housing,3,3,144.58,6,75006
3300000,2,Housing,5,2,121.18,8,75008
545000,1,Housing,2,1,43.06,13,75013
3490000,7,Housing,6,7,258.32,8,75008
2400000,2,Housing,5,2,145.35,6,75006
2850000,3,Housing,5,3,210.0,16,75016
3490000,4,Housing,4,4,118.1,7,75007
1350000,2,Housing,5,2,83.83,5,75005
750000,2,Housing,3,2,65.1,12,75012
1248000,2,Housing,4,2,97.57,9,75009
800000,2,Housing,2,2,56.05,16,75016
490000,2,Housing,2,2,37.03,5,75005
2500000,4,Housing,6,4,136.25,6,75006
2250000,2,Housing,6,2,200.0,7,75007
3000000,4,Housing,6,4,194.0,7,75007
690000,2,Housing,4,2,60.0,16,75016
795000,1,Housing,2,1,33.0,6,75006
3490000,3,Housing,5,3,127.9,7,75007
1610000,2,Housing,4,2,83.5,6,75006
2390000,2,Housing,6,2,138.0,16,75016
