Address,District/Arrondissement,Zipcode,Rent,Cost,Maintenance,Number of rooms,Size,Property Type,"Co-Living (1=Yes, 0=No)","Are Pets Allowed (1=Yes, 0=No)",Lease Duration (Months),Latitude,Longitude
121 Avenue des Champs-Élysées,19,7520,6339,785469,123,1,1906,Duplex,0,0,27,48.814774,2.403632
7 Rue de Vaugirard,3,7518,3881,3613700,181,2,321,Apartment,1,0,6,48.800563,2.446959
96 Rue de Rivoli,11,7505,7534,213437,54,3,1478,Apartment,1,1,31,48.855825,2.251906
19 Boulevard Haussmann,16,7505,9221,3206361,45,5,2000,Villa,1,1,19,48.887532,2.362863
102 Rue du Faubourg Saint-Honoré,18,7504,7316,1134761,180,5,2000,Apartment,1,0,33,48.814933,2.434862
38 Boulevard Saint-Germain,17,7503,2719,1333431,151,4,609,Apartment,1,1,15,48.806903,2.42504
67 Rue Saint-Honoré,20,7510,2894,256368,151,2,1979,Duplex,1,0,15,48.827056,2.285481
70 Rue du Faubourg Saint-Honoré,9,7514,8017,3428558,129,4,417,Apartment,1,1,30,48.897458,2.403206
23 Rue Saint-Honoré,1,7515,1325,3068373,161,5,987,Villa,0,1,33,48.849217,2.38347
200 Rue de la Paix,17,7513,5920,1092864,75,4,1292,Apartment,0,0,3,48.803983,2.420672
88 Rue Saint-Honoré,20,7516,5677,641810,178,5,942,Duplex,1,1,2,48.878488,2.304465
97 Rue Saint-Honoré,2,7502,5235,4227012,199,1,1767,Villa,0,1,15,48.812555,2.258638
72 Avenue des Champs-Élysées,16,7504,1880,1111215,168,4,1559,Villa,1,0,11,48.822131,2.34037
83 Boulevard Haussmann,3,7509,8543,511967,140,1,1425,Villa,0,0,13,48.851916,2.348411
114 Rue du Faubourg Saint-Honoré,12,7512,2510,4383434,139,1,849,Villa,1,0,33,48.864793,2.328711
1 Rue de la République,13,7515,6183,4574309,38,1,1394,Villa,1,1,34,48.847934,2.443878
189 Boulevard Saint-Germain,9,7505,5087,1525242,199,1,532,Duplex,0,1,23,48.802912,2.346838
77 Rue de Rivoli,6,7516,1741,779731,132,5,1111,Apartment,1,1,36,48.872288,2.413911
11 Rue du Faubourg Saint-Honoré,18,7501,2589,3619628,145,3,470,Duplex,0,0,33,48.844447,2.367435
177 Rue de la Paix,2,7518,8764,730347,191,5,1552,Apartment,1,1,5,48.864214,2.317361
129 Rue de Rivoli,12,7519,6181,344105,79,3,438,Apartment,1,1,25,48.839491,2.432855
88 Rue de Rivoli,6,7512,8429,2954218,125,4,1405,Duplex,1,0,14,48.88767,2.258627
168 Boulevard Saint-Germain,18,7520,3323,852048,73,4,1787,Apartment,1,1,7,48.820209,2.32417
135 Rue de la Paix,17,7518,1546,560635,135,4,1244,Apartment,0,0,21,48.837303,2.319464
185 Rue Saint-Honoré,11,7507,1269,1402476,193,1,1435,Villa,0,1,24,48.858107,2.340593
24 Rue de la Paix,1,7503,9931,1036681,62,4,675,Apartment,0,1,26,48.856066,2.29909
129 Avenue Montaigne,17,7515,3603,297737,172,3,1123,Villa,0,0,2,48.81217,2.386
60 Rue de la République,16,7515,2432,4485644,156,3,567,Villa,1,1,11,48.870404,2.312479
11 Boulevard Saint-Germain,19,7516,5621,571958,104,5,1640,Villa,1,0,10,48.832666,2.337168
91 Rue Saint-Honoré,14,7504,4801,3146994,118,3,1115,Apartment,0,0,33,48.8179,2.378281
88 Rue de la République,5,7517,7559,2878253,176,3,1985,Villa,0,0,3,48.837821,2.362343
49 Avenue Montaigne,12,7518,4485,656431,168,1,1100,Duplex,1,1,2,48.844375,2.339765
106 Rue de la Paix,8,7508,7462,1094558,188,4,987,Apartment,0,1,33,48.867831,2.37736
21 Rue de la Paix,3,7514,9112,1199772,120,1,786,Apartment,0,1,25,48.837302,2.273772
121 Rue du Faubourg Saint-Honoré,14,7502,9637,1198425,186,1,1902,Duplex,0,1,30,48.880152,2.317412
68 Rue de Rivoli,11,7506,2269,4573383,87,2,444,Villa,0,1,3,48.831171,2.391922
68 Rue du Faubourg Saint-Honoré,6,7502,9961,2737261,70,5,1789,Villa,0,0,25,48.886517,2.289699
111 Boulevard Haussmann,5,7508,4771,681628,44,3,874,Villa,1,1,26,48.866429,2.358071
89 Avenue Montaigne,14,7509,8350,745908,47,3,1728,Apartment,0,1,17,48.856696,2.269957
161 Rue Saint-Honoré,5,7517,1978,3193288,86,5,1543,Duplex,0,1,31,48.858271,2.281956
189 Rue de Vaugirard,20,7501,1940,608011,78,2,1549,Apartment,0,0,36,48.809726,2.299485
189 Rue du Faubourg Saint-Honoré,11,7502,9051,3515258,126,2,1796,Apartment,0,1,34,48.813486,2.426566
154 Rue de Rivoli,12,7501,9793,2667880,187,3,1974,Villa,1,0,11,48.804111,2.385324
103 Boulevard Saint-Germain,7,7509,8265,4665397,145,4,352,Apartment,0,1,27,48.820345,2.400707
180 Rue de Vaugirard,7,7518,2594,2968588,187,2,1374,Apartment,1,0,27,48.828146,2.372618
100 Rue de la Paix,5,7520,8288,3716250,51,2,1499,Villa,1,0,1,48.898247,2.436655
54 Rue Saint-Honoré,15,7518,2589,3210715,47,3,1219,Duplex,0,1,24,48.882783,2.430767
153 Rue de la République,1,7513,8197,1989637,93,2,306,Duplex,1,0,31,48.879606,2.32077
101 Rue de Rivoli,15,7515,1820,877015,105,1,1285,Villa,1,1,36,48.821676,2.372671
173 Avenue Montaigne,18,7520,6134,2098266,173,2,341,Duplex,1,0,16,48.881674,2.289349
76 Rue de Vaugirard,15,7520,4589,2416364,111,2,1370,Duplex,0,0,29,48.842107,2.444943
171 Rue de Vaugirard,5,7506,5802,2201958,139,5,1910,Villa,1,0,13,48.839176,2.330987
37 Rue Saint-Honoré,2,7511,7100,686274,107,5,1557,Villa,1,0,18,48.808494,2.442748
193 Avenue Montaigne,16,7509,4237,1342353,54,2,360,Apartment,1,0,15,48.843132,2.294127
27 Avenue Montaigne,4,7501,8848,4334228,126,3,1459,Apartment,0,0,17,48.849344,2.274918
42 Rue de la Paix,6,7516,8965,3311220,58,5,986,Apartment,0,0,11,48.856457,2.413799
38 Rue du Faubourg Saint-Honoré,4,7520,4015,155962,199,2,570,Duplex,0,1,18,48.851758,2.419036
185 Rue de Vaugirard,11,7512,6650,2162984,69,5,1425,Villa,0,1,30,48.814961,2.416373
59 Rue de la République,15,7514,6371,889498,141,1,911,Duplex,1,0,31,48.85681,2.368982
125 Rue du Faubourg Saint-Honoré,2,7511,1290,3116137,61,3,1289,Villa,0,0,3,48.862583,2.321063
11 Boulevard Saint-Germain,10,7502,3478,2837658,103,4,768,Apartment,1,1,34,48.873462,2.416296
187 Rue de Vaugirard,13,7519,3730,1955456,83,3,1918,Duplex,0,0,17,48.819509,2.393394
145 Boulevard Saint-Germain,6,7510,2869,3768705,52,3,1549,Duplex,1,0,26,48.888246,2.255683
173 Avenue Montaigne,1,7519,4483,3044674,180,3,1949,Duplex,0,0,30,48.839048,2.448373
183 Avenue Montaigne,20,7505,2409,3189244,125,1,1864,Apartment,1,0,17,48.856259,2.337412
77 Rue Saint-Honoré,3,7509,5495,3876147,133,4,914,Apartment,0,1,33,48.851013,2.44324
71 Rue Saint-Honoré,16,7513,5893,4074574,36,2,1359,Duplex,1,0,9,48.876019,2.296316
107 Avenue des Champs-Élysées,1,7508,7151,1978412,150,3,325,Apartment,0,1,8,48.831923,2.274311
184 Boulevard Haussmann,14,7505,2812,2218001,112,3,773,Apartment,0,0,4,48.804699,2.322576
7 Rue de Rivoli,14,7514,3172,4821441,176,3,1804,Apartment,0,0,13,48.802284,2.318637
194 Rue de Rivoli,2,7516,6385,261406,145,1,538,Apartment,0,0,2,48.881698,2.391062
13 Rue de la Paix,8,7515,5616,3560455,112,1,1072,Apartment,0,1,35,48.843622,2.373782
105 Rue de la République,16,7507,5199,2515577,161,3,1522,Duplex,1,0,24,48.853768,2.291713
190 Rue de la République,20,7502,3524,2460389,84,3,609,Villa,0,0,36,48.803627,2.397987
96 Rue de Rivoli,3,7511,8456,3522472,142,4,1507,Duplex,1,0,5,48.850769,2.250357
169 Boulevard Saint-Germain,5,7506,3457,3285713,121,3,1308,Duplex,1,1,4,48.853711,2.396505
146 Avenue des Champs-Élysées,9,7519,9304,3058909,106,2,1716,Apartment,1,1,36,48.807062,2.383614
193 Boulevard Saint-Germain,8,7501,2007,4313080,177,2,1953,Villa,0,0,23,48.80889,2.383562
27 Rue Saint-Honoré,12,7505,7900,3753503,191,4,1271,Villa,1,0,26,48.8204,2.395969
169 Avenue Montaigne,15,7504,3986,4581497,41,3,1458,Villa,0,1,24,48.82545,2.401214
146 Avenue Montaigne,18,7520,4087,539061,181,1,1175,Duplex,0,0,2,48.878865,2.328706
10 Boulevard Saint-Germain,19,7507,8789,2615647,39,4,615,Villa,1,1,9,48.813201,2.377453
198 Rue du Faubourg Saint-Honoré,2,7509,1590,3879546,120,5,1036,Apartment,1,1,22,48.852497,2.331108
134 Avenue des Champs-Élysées,7,7511,4007,4670657,87,1,1563,Villa,0,0,15,48.889822,2.359829
146 Rue de la Paix,1,7515,9511,4679954,44,3,1754,Apartment,0,1,2,48.889978,2.38246
136 Rue de Vaugirard,11,7514,6329,1513832,75,2,1292,Duplex,0,1,6,48.818338,2.363914
153 Avenue Montaigne,20,7504,5931,402604,80,2,497,Apartment,0,0,15,48.82162,2.396812
2 Boulevard Haussmann,10,7507,1189,2075854,90,5,1922,Villa,0,0,19,48.840978,2.44238
160 Avenue des Champs-Élysées,20,7509,2915,3195139,134,5,761,Duplex,1,0,12,48.83475,2.427749
149 Avenue des Champs-Élysées,8,7502,1753,1032414,51,3,1120,Apartment,1,1,1,48.879909,2.342221
154 Avenue Montaigne,14,7505,2043,668754,146,5,1727,Apartment,0,1,9,48.890316,2.369145
57 Rue de la République,1,7504,3516,1940238,180,3,1898,Duplex,0,1,2,48.863638,2.425464
164 Rue du Faubourg Saint-Honoré,19,7501,8876,3761875,141,3,349,Apartment,0,1,15,48.808126,2.351593
129 Rue Saint-Honoré,6,7515,9665,2566217,122,2,487,Apartment,0,0,10,48.893688,2.352673
39 Rue de la Paix,14,7506,4687,3870717,111,3,1532,Apartment,1,1,26,48.888163,2.265597
186 Boulevard Saint-Germain,7,7520,9130,478873,162,3,578,Duplex,1,1,13,48.864942,2.3478
138 Rue de la République,11,7514,6387,3782198,33,2,440,Villa,0,1,20,48.893062,2.412212
190 Rue de Vaugirard,13,7506,2692,1940784,182,1,1092,Apartment,0,1,3,48.824862,2.301319
97 Avenue des Champs-Élysées,7,7506,5033,4149581,71,1,1976,Duplex,0,0,33,48.846008,2.434085
53 Avenue Montaigne,8,7517,2792,1790238,145,2,1223,Villa,1,1,10,48.844193,2.391243
81 Rue de la Paix,4,7502,7966,3453483,62,3,1749,Duplex,1,1,3,48.835163,2.44038
123 Boulevard Saint-Germain,18,7511,2879,1352449,148,5,489,Apartment,1,1,26,48.847428,2.322261
100 Avenue Montaigne,15,7513,9496,4403290,32,3,1978,Villa,0,1,17,48.839155,2.28307
105 Avenue des Champs-Élysées,16,7514,5523,3531754,31,4,1283,Duplex,0,1,16,48.882359,2.420515
101 Rue de Rivoli,13,7510,6536,2925542,154,1,1963,Apartment,0,1,10,48.875216,2.34648
37 Rue de la Paix,8,7513,3071,2698756,77,3,1960,Duplex,0,1,34,48.853664,2.424726
165 Avenue des Champs-Élysées,9,7517,2355,1518306,128,4,881,Apartment,0,0,28,48.806118,2.261123
29 Avenue Montaigne,20,7514,3280,1495484,152,1,1364,Apartment,1,0,31,48.846226,2.381915
28 Rue Saint-Honoré,17,7509,8874,3869414,113,3,856,Duplex,0,0,26,48.859189,2.363584
168 Rue de la Paix,14,7520,4758,896588,140,1,1280,Duplex,1,0,7,48.899882,2.39708
123 Avenue Montaigne,20,7504,3010,3780159,117,5,527,Apartment,0,0,20,48.848782,2.380005
3 Boulevard Saint-Germain,13,7503,7909,482029,71,5,847,Apartment,1,1,3,48.888674,2.447881
12 Boulevard Saint-Germain,4,7502,1506,4384162,101,1,1163,Duplex,1,1,7,48.836378,2.301434
96 Rue Saint-Honoré,8,7519,5471,4913936,78,5,1666,Villa,0,1,12,48.833225,2.398528
193 Rue du Faubourg Saint-Honoré,13,7506,1665,4513648,140,5,522,Duplex,1,1,18,48.865859,2.265534
56 Avenue des Champs-Élysées,3,7520,7199,4398621,151,1,1294,Duplex,0,1,8,48.882152,2.407162
182 Rue Saint-Honoré,5,7516,3466,3481146,63,4,440,Duplex,0,0,13,48.804071,2.274708
163 Rue de la Paix,1,7512,8737,1962537,43,4,992,Apartment,0,1,36,48.809129,2.353094
152 Rue de Vaugirard,4,7515,1339,3260853,130,5,1328,Villa,0,0,8,48.878544,2.432998
2 Boulevard Haussmann,4,7516,9640,331702,157,1,1332,Apartment,0,1,31,48.802559,2.392948
65 Rue Saint-Honoré,15,7518,8106,361332,131,5,782,Apartment,0,1,29,48.891429,2.297802
161 Rue de Rivoli,7,7507,4063,1365246,52,2,980,Villa,0,0,27,48.856445,2.387733
25 Rue du Faubourg Saint-Honoré,17,7518,7583,1198267,175,5,1228,Duplex,0,1,21,48.846433,2.418966
110 Avenue Montaigne,10,7517,1943,4057255,42,5,1152,Apartment,0,0,20,48.823749,2.353382
72 Rue du Faubourg Saint-Honoré,13,7513,9103,412395,151,4,1377,Apartment,1,1,26,48.823508,2.36289
146 Rue de la République,6,7504,6416,4265359,171,4,1866,Apartment,0,0,10,48.861692,2.325607
56 Rue du Faubourg Saint-Honoré,15,7511,7494,4951118,97,4,1037,Villa,0,1,8,48.828256,2.267757
37 Boulevard Saint-Germain,2,7517,5895,2415764,198,2,550,Duplex,0,0,9,48.845667,2.292315
146 Avenue des Champs-Élysées,2,7519,1749,3656370,164,1,1900,Villa,0,0,3,48.872849,2.389428
147 Boulevard Haussmann,1,7506,2342,1843195,146,3,1975,Apartment,1,1,19,48.862326,2.313477
168 Rue du Faubourg Saint-Honoré,18,7503,8414,1232439,136,5,1630,Duplex,1,1,11,48.856636,2.265909
65 Avenue Montaigne,4,7510,1154,188096,155,1,1070,Villa,0,1,6,48.858984,2.414272
16 Boulevard Haussmann,14,7516,6464,1714403,99,2,1872,Apartment,0,1,14,48.85837,2.290129
85 Rue de Vaugirard,10,7515,3424,1057411,172,5,1709,Apartment,1,0,22,48.822732,2.281793
172 Rue Saint-Honoré,18,7508,4165,4648038,109,5,1691,Villa,0,1,21,48.860691,2.324079
109 Rue de la Paix,16,7507,8099,4219067,33,5,694,Villa,0,0,31,48.806043,2.421733
194 Rue de la Paix,9,7508,7474,1945179,74,1,982,Villa,0,0,3,48.826446,2.324527
193 Rue de Vaugirard,15,7508,2394,3273023,71,5,1455,Villa,0,1,28,48.847795,2.391221
57 Avenue des Champs-Élysées,9,7505,4613,111149,149,1,941,Villa,1,0,5,48.880382,2.431639
54 Avenue Montaigne,4,7520,9637,2536188,54,5,417,Apartment,1,1,29,48.823675,2.346694
115 Rue de Vaugirard,9,7508,3702,1613874,195,5,1300,Apartment,0,0,23,48.833702,2.435035
15 Boulevard Haussmann,6,7515,9138,3880607,160,2,1558,Duplex,1,0,9,48.854293,2.448158
105 Rue de la Paix,2,7502,6597,3464147,162,1,928,Apartment,0,0,11,48.842903,2.315953
81 Rue du Faubourg Saint-Honoré,12,7519,5279,1601329,192,3,337,Duplex,1,1,8,48.897094,2.375363
81 Rue de Vaugirard,18,7501,5731,4855437,128,1,533,Duplex,1,0,31,48.856736,2.392942
156 Rue Saint-Honoré,15,7513,6016,4672870,49,1,939,Duplex,0,1,34,48.837262,2.360226
134 Boulevard Haussmann,20,7508,6262,4322254,135,1,407,Villa,1,0,17,48.861206,2.432044
122 Rue de Rivoli,3,7516,7143,576139,161,2,995,Duplex,1,0,29,48.862091,2.394801
21 Rue Saint-Honoré,10,7501,9634,3049264,166,3,1902,Villa,0,0,24,48.879864,2.308626
120 Avenue des Champs-Élysées,18,7516,5684,2178618,141,4,814,Duplex,0,0,25,48.851713,2.368217
130 Rue du Faubourg Saint-Honoré,16,7510,6282,1282199,158,5,1410,Duplex,1,1,4,48.868251,2.250123
10 Boulevard Saint-Germain,15,7507,9927,4796834,80,4,1918,Villa,1,1,6,48.886722,2.34981
13 Boulevard Saint-Germain,1,7515,4155,1875887,179,1,496,Duplex,0,0,25,48.891828,2.366999
125 Boulevard Haussmann,20,7511,6446,1944317,175,5,888,Villa,0,0,29,48.809567,2.445291
196 Rue de la République,20,7503,1387,3003148,56,3,522,Duplex,1,1,23,48.855651,2.35409
103 Rue de Rivoli,18,7513,9020,332607,144,2,527,Duplex,1,1,6,48.894462,2.442289
21 Rue de la Paix,14,7518,1064,1017444,42,4,746,Duplex,0,0,5,48.886212,2.353991
21 Rue du Faubourg Saint-Honoré,9,7502,6459,1543910,86,2,420,Duplex,1,1,14,48.807863,2.344276
63 Rue de Rivoli,11,7520,7983,4488619,77,5,1391,Apartment,1,0,27,48.848685,2.314273
98 Avenue des Champs-Élysées,18,7511,7461,2241570,120,3,1400,Apartment,0,1,15,48.869114,2.422469
168 Rue Saint-Honoré,3,7514,4547,1160409,70,2,1226,Apartment,0,1,21,48.878676,2.340413
86 Avenue Montaigne,9,7513,1603,2903194,173,5,1752,Duplex,0,0,10,48.838627,2.254472
100 Boulevard Haussmann,4,7505,2350,1333691,99,1,795,Apartment,1,0,25,48.809102,2.331135
77 Rue Saint-Honoré,9,7510,9461,4899347,45,2,1885,Apartment,0,0,18,48.835999,2.309175
18 Rue de la Paix,13,7517,2453,4654843,120,2,355,Duplex,1,0,25,48.815958,2.274796
183 Avenue des Champs-Élysées,6,7509,5770,365728,50,5,558,Duplex,0,1,5,48.833537,2.416973
51 Rue de la République,4,7518,1805,393448,109,1,1748,Duplex,0,0,2,48.830339,2.431869
76 Rue du Faubourg Saint-Honoré,15,7505,2572,1088441,183,2,473,Apartment,1,0,6,48.851202,2.424461
68 Rue du Faubourg Saint-Honoré,13,7502,6412,4989358,167,5,512,Duplex,0,0,27,48.810682,2.369752
161 Boulevard Haussmann,2,7514,5001,2151325,36,1,911,Apartment,1,0,16,48.831839,2.44009
83 Boulevard Haussmann,18,7505,1477,709264,143,5,823,Villa,1,0,21,48.849084,2.384049
101 Rue Saint-Honoré,14,7501,9998,2176587,34,3,1208,Apartment,0,1,26,48.889066,2.28305
65 Boulevard Haussmann,17,7517,4301,522987,194,1,1940,Duplex,1,0,1,48.868212,2.442947
168 Rue de la Paix,11,7514,1527,350563,51,3,895,Duplex,1,0,10,48.803936,2.321017
24 Rue Saint-Honoré,2,7518,2830,621762,149,5,1191,Apartment,1,1,12,48.890226,2.381589
181 Boulevard Haussmann,4,7520,4887,3828177,195,5,759,Apartment,0,1,5,48.871681,2.295098
107 Rue de Rivoli,1,7502,5424,2722033,155,5,1125,Duplex,0,0,16,48.802529,2.34109
154 Rue Saint-Honoré,19,7514,2789,3142343,88,4,864,Duplex,0,0,25,48.887582,2.425839
9 Rue du Faubourg Saint-Honoré,18,7518,4257,166315,80,4,1761,Villa,0,0,26,48.810399,2.273808
25 Avenue Montaigne,8,7510,5583,3349283,96,1,1188,Duplex,0,0,6,48.891413,2.33917
27 Avenue Montaigne,6,7516,2318,4056793,57,3,1225,Duplex,0,1,15,48.884861,2.349405
27 Rue de Rivoli,9,7513,2199,4691267,153,1,1991,Apartment,1,0,15,48.851925,2.302356
182 Rue de Vaugirard,17,7512,8422,3163368,123,5,1053,Villa,1,0,32,48.879693,2.341726
158 Rue de Rivoli,9,7504,4541,343803,157,5,1400,Villa,0,0,11,48.823647,2.276685
78 Rue de Vaugirard,19,7501,7380,4871017,127,1,1799,Villa,0,1,7,48.829145,2.264882
109 Boulevard Haussmann,2,7509,5808,807309,39,5,1554,Apartment,1,0,11,48.830105,2.371183
72 Rue de la République,5,7505,9659,311773,199,4,980,Villa,1,1,12,48.878536,2.250735
62 Boulevard Haussmann,13,7510,3002,4587713,124,3,358,Villa,1,1,3,48.825341,2.309779
18 Boulevard Haussmann,6,7506,1303,4981848,55,5,1746,Apartment,0,0,9,48.822981,2.418851
9 Boulevard Saint-Germain,9,7501,3912,4748035,165,1,1822,Duplex,0,1,29,48.828664,2.273992
34 Boulevard Saint-Germain,10,7504,6141,1276895,87,1,1851,Apartment,0,1,30,48.855736,2.300549
104 Rue de Vaugirard,8,7503,5705,1270470,31,2,1579,Villa,1,0,5,48.872165,2.33566
134 Rue du Faubourg Saint-Honoré,11,7512,1686,2911374,147,5,1333,Duplex,0,0,12,48.842008,2.334663
26 Rue de la Paix,16,7501,6679,4880117,182,4,1919,Duplex,1,0,22,48.882657,2.319886
119 Rue de Rivoli,7,7507,2990,4452173,69,2,661,Villa,1,1,25,48.86929,2.362298
32 Rue du Faubourg Saint-Honoré,6,7519,8600,4385796,142,1,1256,Villa,1,0,15,48.806895,2.404685
39 Boulevard Saint-Germain,7,7508,7526,3184794,79,3,656,Duplex,0,1,20,48.831086,2.443327
2 Avenue des Champs-Élysées,19,7510,8998,4167485,160,2,976,Villa,1,1,12,48.894234,2.384398
113 Avenue Montaigne,2,7510,7509,1046015,83,1,1397,Apartment,0,1,36,48.845299,2.368413
199 Rue de la Paix,4,7507,2562,4866891,151,1,1544,Apartment,0,0,28,48.850112,2.269936
110 Rue de Rivoli,13,7520,2728,4488379,76,1,1082,Villa,0,0,3,48.827466,2.262027
17 Rue de la République,3,7517,6931,392133,131,2,1133,Apartment,0,1,28,48.820508,2.391839
157 Avenue des Champs-Élysées,7,7502,2119,580967,39,1,1200,Duplex,1,1,17,48.851668,2.337246
112 Boulevard Haussmann,7,7511,7168,815440,183,4,1627,Duplex,0,1,34,48.823563,2.449517
48 Rue du Faubourg Saint-Honoré,2,7510,5301,3364429,137,4,852,Apartment,0,0,25,48.880729,2.285529
97 Rue du Faubourg Saint-Honoré,9,7516,3532,2806399,117,2,462,Apartment,1,0,32,48.878889,2.426972
14 Avenue des Champs-Élysées,13,7511,5336,2448012,34,3,1280,Apartment,1,1,35,48.835951,2.40447
81 Rue de la Paix,19,7502,8234,3795256,164,1,1889,Villa,1,0,4,48.818804,2.317828
137 Rue de Rivoli,18,7516,4070,3332578,30,3,538,Apartment,1,1,14,48.876417,2.283942
11 Rue de la Paix,19,7513,5428,2297484,196,4,1113,Duplex,0,1,33,48.808029,2.435548
176 Rue du Faubourg Saint-Honoré,16,7501,1253,2173229,178,3,1163,Apartment,0,0,10,48.828817,2.416848
48 Rue de Vaugirard,1,7514,9329,2671755,184,5,1149,Apartment,0,0,36,48.803494,2.36378
31 Rue de la Paix,1,7511,8399,324855,175,5,1255,Duplex,1,0,7,48.803869,2.409701
118 Boulevard Saint-Germain,18,7502,8899,2292648,66,4,1346,Apartment,1,1,12,48.866271,2.417744
93 Rue de Vaugirard,1,7507,1160,2191627,62,1,1739,Apartment,1,1,22,48.888092,2.433338
123 Rue du Faubourg Saint-Honoré,4,7509,7146,1668847,35,1,1313,Villa,1,0,33,48.819517,2.325093
114 Avenue des Champs-Élysées,20,7519,7428,600244,148,1,1880,Villa,1,0,2,48.881453,2.381509
198 Rue du Faubourg Saint-Honoré,17,7516,1491,3042056,150,1,519,Villa,1,0,11,48.82022,2.274059
153 Avenue des Champs-Élysées,10,7503,5360,4351941,35,4,426,Duplex,1,0,14,48.864901,2.4499
29 Rue Saint-Honoré,18,7506,9077,1467632,185,1,1851,Apartment,1,1,12,48.887213,2.280813
80 Rue du Faubourg Saint-Honoré,3,7505,5258,3643579,135,5,725,Duplex,1,0,28,48.827284,2.259034
57 Rue de la Paix,13,7518,3093,3443810,137,2,875,Duplex,0,1,4,48.821329,2.308574
143 Boulevard Saint-Germain,8,7515,5459,4803416,161,3,1916,Apartment,0,0,35,48.815529,2.250791
151 Rue Saint-Honoré,20,7509,2229,2371844,60,4,1311,Duplex,0,1,6,48.807594,2.330665
147 Rue Saint-Honoré,3,7514,4440,2275684,76,5,684,Apartment,0,0,29,48.848608,2.283808
89 Rue de Vaugirard,13,7503,6569,4343357,131,4,341,Duplex,0,1,1,48.848988,2.296143
62 Rue de la Paix,9,7504,5115,1050555,176,3,936,Villa,1,1,32,48.808312,2.277057
