Address,Street,Price,Area,Floor,Guest,Bed,Bath,Link
"Trocadéro, Paris",Rue des Belles Feuilles,2790,65,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-470
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,3040,88,3,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-592
"Passy, Paris",Avenue du Président Kennedy,2970,38,9,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-919
"Auteuil, Paris",Quai Louis Blériot,2440,104,3,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-726
"Ternes, Paris",Rue Barye,2920,47,6,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-900
"Auteuil, Paris",Boulevard Exelmans,2730,85,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-356
"Notre-Dame-de-Lorette, Paris",Square Trudaine,4290,108,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-notre-dame-de-lorette-293
"Passy, Paris",Rue Massenet,2310,68,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-557
"Ternes, Paris",Rue Bremontier,2610,63,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-290
"Jardin du Luxembourg, Paris",Boulevard Saint-Michel,3110,62,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-773
"Jardin du Luxembourg, Paris",Boulevard Saint-Michel,1990,36,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-774
"Jardin du Luxembourg, Paris",Boulevard Saint-Michel,2170,45,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-775
"Grands Boulevards, Paris",Rue Poissonnière,3830,83,3,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-grands-boulevards-758
"Montmartre, Paris",Rue Hermel,1810,72,3,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-montmartre-838
"Auteuil, Paris",Rue Michel Ange,2570,99,,6,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-640
"Jardin du Luxembourg, Paris",Rue Corneille,3440,67,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-509
"Auteuil, Paris",Rue Léon Bonnat,2670,93,6,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-687
"Ternes, Paris",Rue Labie,3340,57,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-834
"Les Sablons, Paris",Rue du Général Cordonnier,2950,70,2,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-les-sablons-762
"Ternes, Paris",Rue Brunel,4140,29,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1013468
"Champs-Élysées, Paris",Rue Beaujon,5040,58,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-488
"Ternes, Paris",Boulevard Pereire,3180,110,4,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-377
"Louvre, Paris",Rue Perrault,4560,64,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-louvre-027
"Monceau, Paris",Rue Cardinet,2560,62,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-monceau-794
"Trocadéro, Paris",Rue Saint-Didier,3700,70,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-913
"Invalides, Paris",Avenue de Breteuil,3430,60,,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-562
"Invalides, Paris",Avenue de Breteuil,3910,73,2,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-743
"Passy, Paris",Rue Lekain,3780,70,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-808
"Batignolles, Paris",Impasse de Lévis,3310,107,3,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-917
"Porte Dauphine, Paris",Rue Lalo,4140,95,5,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-610
"Notre Dame des Champs, Paris",Rue de Sèvres,4800,49,,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1019796
"La Muette, Paris",Rue Vital,3720,100,5,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-la-muette-764
"Bastille, Paris",Rue de la Folie-Regnault,3590,101,4,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-777
"Champ de Mars, Paris",Avenue de Suffren,5080,114,2,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-champ-de-mars-734
"Porte Dauphine, Paris",Boulevard Suchet,1960,36,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-852
"Buttes-Chaumont, Paris",Av. Simon Bolivar,1960,52,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-259
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2830,60,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-591
"Lamarck - Caulaincourt, Paris",Rue Lamarck,2590,47,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-745
"Commerce, Paris",Rue du Clos Feuquières,9670,72,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/398547
"Les Halles, Paris",Rue Saint-Martin,1920,24,1,2,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-les-halles-744
"Quartier Latin, Paris",Rue Tournefort,2390,38,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-5th-quartier-latin-275
"Cadet, Paris",Rue Richer,3320,73,3,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-cadet-929
"Auteuil, Paris",Rue du Général Delestraint,1830,31,4,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-352
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2170,50,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-360
"Ternes, Paris",Rue des Acacias,2020,34,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-659
"Place Vendome, Paris",Rue Cambon,2330,31,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-place-vendome-727
"Jardin du Luxembourg, Paris",Rue Joseph Bara,2670,43,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-572
"Miromesnil, Paris",Rue Mesnil,2800,45,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-miromesnil-812
"Porte Dauphine, Paris",Rue Weber,3180,73,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-124
"Lamarck - Caulaincourt, Paris",Rue du Mont-Cenis,2160,58,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-697
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2630,51,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-747
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,3010,40,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-748
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2370,58,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-205
"Pereire, Paris",Avenue des Chasseurs,2540,70,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-920
"Trocadéro, Paris",Quai Louis Blériot,3280,80,14,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-123
"Notre Dame des Champs, Paris",Rue Saint-Romain,5060,112,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-notre-dame-des-champs-934
"Batignolles, Paris",Rue Brochant,3110,56,2,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-904
"Notre Dame des Champs, Paris",Rue d'Assas,3460,60,1,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-notre-dame-des-champs-269
"Champ de Mars, Paris",Rue de Monttessuy,4100,55,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-champ-de-mars-756
"Invalides, Paris",Rue de Sèvres,5350,114,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-927
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,3710,69,6,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-507
"Auteuil, Paris",Rue Michel Ange,3510,91,5,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-569
"Bastille Charonne, Paris",Avenue Philippe Auguste,4470,102,2,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-11th-bastille-charonne-791
"Trocadéro, Paris",Rue Lauriston,3080,82,1,4,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-243
"Champ de Mars, Paris",Avenue de Suffren,5340,102,5,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-champ-de-mars-787
"Pont de Neuilly, Paris",Rue Edouard Nortier,2540,70,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-510
"Trocadéro, Paris",Rue Auguste Vacquerie,3220,52,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-880
"Quartier Latin, Paris",Rue de la Glacière,2190,43,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-5th-quartier-latin-704
"Épinettes, Paris",Rue Legendre,2230,52,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-epinettes-789
"Olympiades, Paris",Rue Xaintrailles,2770,67,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-13th-olympiades-491
"Auteuil, Paris",Rue Boileau,3160,80,2,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-868
"Notre Dame des Champs, Paris",Rue de Sèvres,3720,30,,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1019759
"Trocadéro, Paris",Avenue Victor Hugo,6450,120,8,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-475
"Pigalle, Paris",Rue de Dunkerque,1830,30,3,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-613
"Batignolles, Paris",Rue Jouffroy d'Abbans,2400,63,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-439
"Porte Dauphine, Paris",Avenue Foch,2630,40,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-874
"Plaisance, Paris",Avenue Villemain,2840,77,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-14th-plaisance-587
"Pereire, Paris",Rue Rennequin,3420,68,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-869
"Ternes, Paris",Rue Bremontier,3820,100,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-384
"Porte Dauphine, Paris",Rue du Général Appert,2370,41,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-800
"Canal Saint-Martin, Paris",Rue La Fayette,2580,75,4,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-10th-canal-saint-martin-833
"Pont de Neuilly, Paris",Avenue de Madrid,2820,66,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-480
"Notre-Dame-de-Lorette, Paris",Rue Milton,2860,56,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-notre-dame-de-lorette-374
"Haussman - Saint Lazare, Paris",Rue Saint-Lazare,3470,86,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-haussman-saint-lazare-511
"Trocadéro, Paris",Rue de Chaillot,2090,38,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-707
"École Militaire, Paris",Avenue Bosquet,2080,35,6,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-284
"Champs-Élysées, Paris",Rue de Berri,2420,35,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-703
"Champs-Élysées, Paris",Rue de Bassano,2280,36,3,2,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-786
"Villiers, Paris",Rue des Dames,1930,39,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-391
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,1630,30,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-643
"École Militaire, Paris",Avenue de Suffren,2100,42,7,,1 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-071
"Porte Dauphine, Paris",Rue Dufrenoy,4650,97,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-841
"Passy, Paris",Rue Massenet,2790,60,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-558
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2270,63,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-431
"Le Marais - Saint-Paul, Paris",Rue de Rivoli,3060,70,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-485
"Champ de Mars, Paris",Rue Cler,5280,58,,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1013442
"Passy, Paris",Rue de l'Abbé Gillet,5280,69,,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1013460
"Sentier - Montorgueil, Paris",Rue de Turbigo,4990,55,5,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-328
"Ternes, Paris",Rue Bayen,3190,70,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-686
"Sentier - Montorgueil, Paris",Rue de Turbigo,3150,32,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-335
"Les Halles, Paris",Rue Tiquetonne,3170,40,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-les-halles-283
"Trocadéro, Paris",Rue Lauriston,4130,89,3,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-693
"Sentier - Montorgueil, Paris",Rue de Turbigo,3460,49,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-330
"Jardin du Luxembourg, Paris",Boulevard Saint-Michel,4940,134,1,5,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-770
"Villiers, Paris",Rue des Dames,1970,50,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-341
"Madeleine, Paris",Rue Tronchet,2040,40,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-madeleine-016
"Auteuil, Paris",Avenue Mozart,2650,63,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-605
"Ternes, Paris",Rue des Acacias,2320,55,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-099
"Sentier - Montorgueil, Paris",Rue d'Aboukir,2600,50,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-271
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2450,54,2,3,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-864
"Batignolles, Paris",Avenue de Clichy,2560,54,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-820
"Bastille, Paris",Rue des Taillandiers,2620,45,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-173
"Villiers, Paris",Rue des Dames,2820,74,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-338
"Sentier - Montorgueil, Paris",Rue de Turbigo,3130,37,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-331
"Pereire, Paris",Rue Albert Samain,3630,130,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-302
"Louvre, Paris",Rue du Louvre,2850,35,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-louvre-819
"La Muette, Paris",Boulevard Flandrin,4370,76,3,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-la-muette-621
"Le Marais - Saint-Paul, Paris",Rue de Rivoli,5070,82,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-253
"Cadet, Paris",Rue de Maubeuge,2470,56,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-cadet-829
"Batignolles, Paris",Rue de Saussure,2520,46,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-815
"Madeleine, Paris",Rue Duphot,2780,55,1,,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-madeleine-350
"Saint-Germain-des-Prés, Paris",Boulevard Saint-Germain,3690,62,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-saint-germain-des-pres-926
"Sentier - Montorgueil, Paris",Rue de Turbigo,3780,49,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-329
"Batignolles, Paris",Boulevard des Batignolles,4140,92,6,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-581
"Ternes, Paris",Boulevard Pereire,4860,130,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-423
"Le Marais - Saint-Paul, Paris",Rue du Roi de Sicile,2680,33,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-142
