Property_name,Total_rooms,Accomodation_size,Property_size,Location,Rent_per_month
Charming Studio near the Grands Boulevards - 9th Arrondissement,1 Room,2 adults,24 m²,"Paris, 2nd Arrondissement","€2,222"
Modern Studio Retreat: Comfortable Stay for Two,1 Room,2 adults,18 m²,"Paris, 2nd Arrondissement","€2,000"
Perfect studio in popular area,1 Room,1 adult,22 m²,"Paris, 2nd Arrondissement","€1,917"
"Bright, quiet top floor apartment",3 Rooms,5 adults,95 m²,"Paris, 2nd Arrondissement","€4,500"
"Cozy 9m² Studio: Fully-Equipped, High-Speed Internet, and More",1 Room,1 adult,9 m²,"Paris, 2nd Arrondissement","€1,589"
Rental Furnished Apartment - Studio - 18m² - Montorgueil,1 Room,2 adults,18 m²,"Paris, 2nd Arrondissement","€1,946"
"Cozy 15m² Apartment with Mezzanine, Kitchen, and TV",1 Room,2 adults,15 m²,"Paris, 2nd Arrondissement","€2,000"
Cozy apartment - Montorgueil Paris,1 Room,2 adults,28 m²,"Paris, 2nd Arrondissement","€1,950"
Studio rue Montorgueil,1 Room,1 adult,19 m²,"Paris, 2nd Arrondissement","€1,400"
In the heart of Paris in a quiet courtyard,2 Rooms,2 adults,61 m²,"Paris, 2nd Arrondissement","€2,500"
"Luxury 3 bedrooms in StHonore´ Square next to Vendome, Louvre and Opera",3 Rooms,6 adults,120 m²,"Paris, 2nd Arrondissement","€18,000"
Bright apartment near Louvre & Palais Royal,2 Rooms,2 adults,18 m²,"Paris, 2nd Arrondissement","€2,400"
"Quiet and bright loft with nice neighbours, Paris",2 Rooms,2 adults,40 m²,"Paris, 2nd Arrondissement","€4,092"
Very pleasant 48 m² 2-room flat,1 Room,2 adults,48 m²,"Paris, 3rd Arrondissement","€3,049"
"Space, light, view, in 2 bedroom Marais + parking.",3 Rooms,4 adults,90 m²,"Paris, 3rd Arrondissement","€4,400"
Filles du calvaire  - 1bdrm apartment,2 Rooms,3 adults,42 m²,"Paris, 3rd Arrondissement","€2,300"
Modern and stylish 1-bedroom apartment in Le Marais,2 Rooms,2 adults,61 m²,"Paris, 3rd Arrondissement","€3,450"
ID393 inviting 1 bedroom apartment in Rue de Turenne,2 Rooms,4 adults,60 m²,"Paris, 3rd Arrondissement","€3,400"
Charming Marais Retreat: Central 6th-Floor Apartment with Bohemian Flair,2 Rooms,4 adults,40 m²,"Paris, 3rd Arrondissement","€3,111"
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1 Room,2 adults,23 m²,"Paris, 3rd Arrondissement","€2,167"
"Quiet, bright apartment in Le Marais",2 Rooms,2 adults,34 m²,"Paris, 3rd Arrondissement","€1,600"
Studio 22m² - Arts et Metiers - Beaubourg,1 Room,2 adults,22 m²,"Paris, 3rd Arrondissement","€1,607"
Charming studio in the Marais,1 Room,2 adults,21 m²,"Paris, 3rd Arrondissement","€1,500"
Furnished flat - 1 room dans le Marais,1 Room,2 adults,23 m²,"Paris, 3rd Arrondissement","€1,754"
"Charming one-bedroom apartment in the heart of Paris, near the Centre Pompidou!",2 Rooms,4 adults,36 m²,"Paris, 3rd Arrondissement","€3,450"
Studio  32m² - Quartier de l'Horloge,1 Room,2 adults,32 m²,"Paris, 3rd Arrondissement","€2,201"
Tenam - 1 room Archives (3 Arr.),2 Rooms,3 adults,59 m²,"Paris, 3rd Arrondissement","€4,178"
Renovated studio at the heart of the Marais,1 Room,2 adults,24 m²,"Paris, 3rd Arrondissement","€1,910"
ID 328 -  bright and cozy 1 bedroom loft in the 3rd arrondissement,2 Rooms,3 adults,28 m²,"Paris, 3rd Arrondissement","€2,200"
Charming Three-Room Apartment in the Heart of Beaubourg and Le Marais,3 Rooms,4 adults,70 m²,"Paris, 3rd Arrondissement","€5,064"
Quetzal - 1 room at Archives (3 Arr.),2 Rooms,3 adults,55 m²,"Paris, 3rd Arrondissement","€4,241"
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2 Rooms,4 adults,45 m²,"Paris, 3rd Arrondissement","€3,500"
Rental Furnished apartment - 2 rooms - 35m² - Arts et Metiers,2 Rooms,2 adults,35 m²,"Paris, 3rd Arrondissement","€2,400"
Cozy Duplex Retreat for 4 Guests,2 Rooms,4 adults,41 m²,"Paris, 3rd Arrondissement","€2,617"
Chic Le Marais Apartment with Top-Floor Views,2 Rooms,2 adults,35 m²,"Paris, 3rd Arrondissement","€2,900"
Elegant 3-Room Furnished Apartment - 80m² - Hôtel de Ville,3 Rooms,4 adults,80 m²,"Paris, 3rd Arrondissement","€4,499"
Tastefully decorated flat in the heart of the 2nd arrondissement,2 Rooms,4 adults,36 m²,"Paris, 3rd Arrondissement","€2,809"
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3 Rooms,4 adults,65 m²,"Paris, 3rd Arrondissement","€4,872"
Bright studio - le Marais,2 Rooms,2 adults,22 m²,"Paris, 3rd Arrondissement","€2,444"
Bright studio in Rue des Rosiers / Marais,1 Room,4 adults,30 m²,"Paris, 3rd Arrondissement","€2,628"
Beautiful 2-room apartment in a modern building,2 Rooms,4 adults,50 m²,"Paris, 3rd Arrondissement","€3,351"
Superb studio - Rivoli / Hotel de ville,1 Room,2 adults,24 m²,"Paris, 3rd Arrondissement","€2,222"
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1 Room,2 adults,35 m²,"Paris, 3rd Arrondissement","€2,278"
Stylish 3-Bedroom Apartment in Historic Hôtel de Savourny,4 Rooms,6 adults,93 m²,"Paris, 3rd Arrondissement","€5,467"
17m² Cozy Studio in the Heart of Paris,1 Room,2 adults,17 m²,"Paris, 3rd Arrondissement","€2,000"
Cosy apartment in the heart of Paris,3 Rooms,4 adults,101 m²,"Paris, 3rd Arrondissement","€8,868"
"Apartment of standing, family and furnished with care",3 Rooms,6 adults,120 m²,"Paris, 3rd Arrondissement","€14,400"
Charming apartment in the heart of the Marais,2 Rooms,3 adults,66 m²,"Paris, 3rd Arrondissement","€12,000"
Charming studio close to les Halles,1 Room,2 adults,22 m²,"Paris, 3rd Arrondissement","€1,956"
"Large, comfortable flat",2 Rooms,2 adults,95 m²,"Paris, 3rd Arrondissement","€5,413"
A little treasure in the heart of “The Marais”,3 Rooms,2 adults,35 m²,"Paris, 3rd Arrondissement","€2,300"
Charming and light-filled 2-room apartment Paris 3rd arrondissement,2 Rooms,1 adult,35 m²,"Paris, 3rd Arrondissement","€2,750"
Minimalist Studio Flat in the Very Heart of Le Marais,1 Room,2 adults,14 m²,"Paris, 3rd Arrondissement","€1,200"
"Duplex - marais Beaubourg, Paris",2 Rooms,3 adults,50 m²,"Paris, 3rd Arrondissement","€2,990"
Cosy and typical Paris apartment located on Ile Saint Louis,1 Room,2 adults,50 m²,"Paris, 4th Arrondissement","€2,200"
"Space, light, view, in 2 bedroom Marais + parking.",3 Rooms,4 adults,90 m²,"Paris, 4th Arrondissement","€4,400"
Very pleasant 48 m² 2-room flat,1 Room,2 adults,48 m²,"Paris, 4th Arrondissement","€3,049"
Spacious 2 bedroom apartment near Notre Dame,2 Rooms,4 adults,90 m²,"Paris, 4th Arrondissement","€4,750"
Filles du calvaire  - 1bdrm apartment,2 Rooms,3 adults,42 m²,"Paris, 4th Arrondissement","€2,300"
Modern and stylish 1-bedroom apartment in Le Marais,2 Rooms,2 adults,61 m²,"Paris, 4th Arrondissement","€3,450"
Charming Marais Retreat: Central 6th-Floor Apartment with Bohemian Flair,2 Rooms,4 adults,40 m²,"Paris, 4th Arrondissement","€3,111"
Rental Furnished Appartment - Studio - 31m² - Châtelet - Les Halles,1 Room,2 adults,31 m²,"Paris, 4th Arrondissement","€1,848"
DUPLEX  NOTRE DAME,2 Rooms,2 adults,50 m²,"Paris, 4th Arrondissement","€2,290"
Furnished flat - 1 room dans le Marais,1 Room,2 adults,23 m²,"Paris, 4th Arrondissement","€1,754"
Tranquil Charm in the Heart of the Latin Quarter,2 Rooms,2 adults,50 m²,"Paris, 4th Arrondissement","€2,804"
"Charming one-bedroom apartment in the heart of Paris, near the Centre Pompidou!",2 Rooms,4 adults,36 m²,"Paris, 4th Arrondissement","€3,450"
Tenam - 1 room Archives (3 Arr.),2 Rooms,3 adults,59 m²,"Paris, 4th Arrondissement","€4,178"
Apartment  NOTRE DAME,2 Rooms,2 adults,35 m²,"Paris, 4th Arrondissement","€2,650"
Renovated studio at the heart of the Marais,1 Room,2 adults,24 m²,"Paris, 4th Arrondissement","€1,910"
Cosy one bedroom off Saint Paul,2 Rooms,3 adults,43 m²,"Paris, 4th Arrondissement","€2,556"
Rental Furnished Appartment - 1 bed - 25m² - Bastille - Faubourg St Antoine- 75004,2 Rooms,2 adults,25 m²,"Paris, 4th Arrondissement","€2,086"
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2 Rooms,4 adults,45 m²,"Paris, 4th Arrondissement","€3,500"
Cozy Duplex Retreat for 4 Guests,2 Rooms,4 adults,41 m²,"Paris, 4th Arrondissement","€2,617"
Studio 30m² - Hôtel de Ville - Beaubourg,1 Room,2 adults,30 m²,"Paris, 4th Arrondissement","€2,301"
Chic Le Marais Apartment with Top-Floor Views,2 Rooms,2 adults,35 m²,"Paris, 4th Arrondissement","€2,900"
"Cozy 1-Bedroom Apartment in the Heart of 5th District, Latin Quarter - Near Cardinal Lemoine Station and Panthéon",1 Room,2 adults,34 m²,"Paris, 4th Arrondissement","€2,900"
Elegant 3-Room Furnished Apartment - 80m² - Hôtel de Ville,3 Rooms,4 adults,80 m²,"Paris, 4th Arrondissement","€4,499"
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3 Rooms,4 adults,65 m²,"Paris, 4th Arrondissement","€4,872"
Bright studio in Rue des Rosiers / Marais,1 Room,4 adults,30 m²,"Paris, 4th Arrondissement","€2,628"
Beautiful 2-room apartment in a modern building,2 Rooms,4 adults,50 m²,"Paris, 4th Arrondissement","€3,351"
Superb studio - Rivoli / Hotel de ville,1 Room,2 adults,24 m²,"Paris, 4th Arrondissement","€2,222"
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1 Room,2 adults,35 m²,"Paris, 4th Arrondissement","€2,278"
1 Bedroom apartment in Notre Dame,2 Rooms,3 adults,44 m²,"Paris, 4th Arrondissement","€5,746"
Beautiful flat opposite the Tour St Jacques,2 Rooms,2 adults,56 m²,"Paris, 4th Arrondissement","€3,524"
Stylish 3-Bedroom Apartment in Historic Hôtel de Savourny,4 Rooms,6 adults,93 m²,"Paris, 4th Arrondissement","€5,467"
17m² Cozy Studio in the Heart of Paris,1 Room,2 adults,17 m²,"Paris, 4th Arrondissement","€2,000"
Notre Dame - Galande 3 Bedrooms with AC,3 Rooms,5 adults,125 m²,"Paris, 4th Arrondissement","€13,200"
Cosy apartment in the heart of Paris,3 Rooms,4 adults,101 m²,"Paris, 4th Arrondissement","€8,868"
"Apartment of standing, family and furnished with care",3 Rooms,6 adults,120 m²,"Paris, 4th Arrondissement","€14,400"
Charming apartment in the heart of the Marais,2 Rooms,3 adults,66 m²,"Paris, 4th Arrondissement","€12,000"
Amazing Flat 1BDR - Ile Saint Louis,2 Rooms,2 adults,42 m²,"Paris, 4th Arrondissement","€4,150"
A little treasure in the heart of “The Marais”,3 Rooms,2 adults,35 m²,"Paris, 4th Arrondissement","€2,300"
Minimalist Studio Flat in the Very Heart of Le Marais,1 Room,2 adults,14 m²,"Paris, 4th Arrondissement","€1,200"
"Ideally located studio, Ile Saint Louis",1 Room,1 adult,22 m²,"Paris, 4th Arrondissement","€1,900"
Charming Apartment for Rent in the Heart of Paris - 58m²,2 Rooms,4 adults,58 m²,"Paris, 4th Arrondissement","€6,000"
3 pieces centre de Paris 1ere,2 Rooms,4 adults,65 m²,"Paris, 4th Arrondissement","€15,000"
Cosy and typical Paris apartment located on Ile Saint Louis,1 Room,2 adults,50 m²,"Paris, 5th Arrondissement","€2,200"
Spacious 2 bedroom apartment near Notre Dame,2 Rooms,4 adults,90 m²,"Paris, 5th Arrondissement","€4,750"
"55 m² Two-Bedroom Apartment in Saint-Germain-des-Prés, 6th Arrondissement of Paris",3 Rooms,3 adults,55 m²,"Paris, 5th Arrondissement","€3,422"
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2 Rooms,2 adults,50 m²,"Paris, 5th Arrondissement","€2,111"
DUPLEX  NOTRE DAME,2 Rooms,2 adults,50 m²,"Paris, 5th Arrondissement","€2,290"
Charming apartment with unobstructed view in the heart of the 6th arrondissement,2 Rooms,2 adults,42 m²,"Paris, 5th Arrondissement","€2,591"
APPARTEMENT  NOTRE DAME 1,2 Rooms,2 adults,39 m²,"Paris, 5th Arrondissement","€1,990"
Tranquil Charm in the Heart of the Latin Quarter,2 Rooms,2 adults,50 m²,"Paris, 5th Arrondissement","€2,804"
Rental Furnished Appartment - 2 Rooms - 45m² - Latin Quarter - Saint Germain de Prés - Odéon- 75005,2 Rooms,2 adults,45 m²,"Paris, 5th Arrondissement","€2,544"
2 rooms - 40m² - Jardin des Plantes,2 Rooms,2 adults,40 m²,"Paris, 5th Arrondissement","€2,736"
Apartment  NOTRE DAME,2 Rooms,2 adults,35 m²,"Paris, 5th Arrondissement","€2,650"
Cozy studio - SAINT GERMAIN DES PRES / ODEON,1 Room,2 adults,20 m²,"Paris, 5th Arrondissement","€1,889"
Cosy one bedroom off Saint Paul,2 Rooms,3 adults,43 m²,"Paris, 5th Arrondissement","€2,556"
Rental Furnished Appartment - 1 bed - 25m² - Bastille - Faubourg St Antoine- 75004,2 Rooms,2 adults,25 m²,"Paris, 5th Arrondissement","€2,086"
Superb flat located in the heart of the Saint Germain district,1 Room,2 adults,25 m²,"Paris, 5th Arrondissement","€2,200"
"Cozy 1-Bedroom Apartment in the Heart of 5th District, Latin Quarter - Near Cardinal Lemoine Station and Panthéon",1 Room,2 adults,34 m²,"Paris, 5th Arrondissement","€2,900"
"Cosy, central, quiet, romantic, design Flat",2 Rooms,2 adults,40 m²,"Paris, 5th Arrondissement","€2,700"
Great & cozy studio,1 Room,2 adults,24 m²,"Paris, 5th Arrondissement","€2,000"
Charming atypical studio near Jardin du Luxembourg,1 Room,2 adults,17 m²,"Paris, 5th Arrondissement","€1,870"
Furnished flat rental - Tolbiac,4 Rooms,7 adults,80 m²,"Paris, 5th Arrondissement","€4,476"
1 Bedroom apartment in Notre Dame,2 Rooms,3 adults,44 m²,"Paris, 5th Arrondissement","€5,746"
Appartement de 53m2 situé proche du Panthéon,2 Rooms,4 adults,53 m²,"Paris, 5th Arrondissement","€4,444"
Notre Dame - Galande 3 Bedrooms with AC,3 Rooms,5 adults,125 m²,"Paris, 5th Arrondissement","€13,200"
Saint Germain des Prés - Prince 1 Bedroom,2 Rooms,3 adults,37 m²,"Paris, 5th Arrondissement","€4,788"
Close to 'Jardin des Plantes',1 Room,2 adults,27 m²,"Paris, 5th Arrondissement","€1,750"
Amazing Flat 1BDR - Ile Saint Louis,2 Rooms,2 adults,42 m²,"Paris, 5th Arrondissement","€4,150"
"Ideally located studio, Ile Saint Louis",1 Room,1 adult,22 m²,"Paris, 5th Arrondissement","€1,900"
Private Room in a Charming Shared Apartment near Metro and Jardin des Plantes,1 Room,1 adult,10 m²,"Paris, 5th Arrondissement","€1,556"
Charming studio quartier Odeon for 2 people,2 Rooms,2 adults,15 m²,"Paris, 6th Arrondissement","€1,220"
"55 m² Two-Bedroom Apartment in Saint-Germain-des-Prés, 6th Arrondissement of Paris",3 Rooms,3 adults,55 m²,"Paris, 6th Arrondissement","€3,422"
Espace Intime Near Métro Odéon Paris,2 Rooms,2 adults,23 m²,"Paris, 6th Arrondissement","€1,380"
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2 Rooms,1 adult,25 m²,"Paris, 6th Arrondissement","€2,300"
"Élégant Appartement de Trois Pièces à Saint-Germain-des-Prés, 7ème Arrondissement, Paris",3 Rooms,4 adults,100 m²,"Paris, 6th Arrondissement","€5,133"
Modern Comfort with Vintage Charm,2 Rooms,2 adults,50 m²,"Paris, 6th Arrondissement","€3,667"
Charming apartment with unobstructed view in the heart of the 6th arrondissement,2 Rooms,2 adults,42 m²,"Paris, 6th Arrondissement","€2,591"
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3 Rooms,3 adults,64 m²,"Paris, 6th Arrondissement","€4,222"
Artistic Charm in the City Skyline - 4 rooms - 90m²,4 Rooms,4 adults,90 m²,"Paris, 6th Arrondissement","€6,224"
2 rooms - 40m² - Jardin des Plantes,2 Rooms,2 adults,40 m²,"Paris, 6th Arrondissement","€2,736"
"Superb flat, ideally located",2 Rooms,4 adults,50 m²,"Paris, 6th Arrondissement","€2,960"
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2 Rooms,2 adults,35 m²,"Paris, 6th Arrondissement","€2,276"
Cozy studio - SAINT GERMAIN DES PRES / ODEON,1 Room,2 adults,20 m²,"Paris, 6th Arrondissement","€1,889"
Studio in the heart of the 7th district,1 Room,2 adults,24 m²,"Paris, 6th Arrondissement","€1,791"
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2 Rooms,4 adults,28 m²,"Paris, 6th Arrondissement","€2,750"
"Beautiful studio ""Bijou"" closed to Musée",1 Room,2 adults,25 m²,"Paris, 6th Arrondissement","€2,215"
Lovely studio close to Jardin du Luxembour,1 Room,2 adults,35 m²,"Paris, 6th Arrondissement","€2,590"
"54 m² Fully Renovated Apartment in the Necker District, 15th Arrondissement of Paris",2 Rooms,2 adults,54 m²,"Paris, 6th Arrondissement","€2,680"
Chic Apartment with Stunning Views in Residential Building - St-Germain,1 Room,2 adults,21 m²,"Paris, 6th Arrondissement","€2,017"
Magnificent 44m² apartment in Saint-Germain-des-Prés with view on the Eiffel Tower,2 Rooms,4 adults,44 m²,"Paris, 6th Arrondissement","€4,833"
1 bedroom in the heart of the Latin Quarter and close to Notre Dame de Paris,2 Rooms,3 adults,60 m²,"Paris, 6th Arrondissement","€3,350"
"Rental Furnished flat - 3 rooms, Quartier Latin - Saint Germain de Prés",3 Rooms,4 adults,55 m²,"Paris, 6th Arrondissement","€3,086"
ID 408 Charming & cozy apt in the 7th,1 Room,4 adults,25 m²,"Paris, 6th Arrondissement","€2,000"
Great & cozy studio,1 Room,2 adults,24 m²,"Paris, 6th Arrondissement","€2,000"
Charming atypical studio near Jardin du Luxembourg,1 Room,2 adults,17 m²,"Paris, 6th Arrondissement","€1,870"
Superb flat for 2 people ideally located in the chic Odeon district on the Rive Gauche in Paris.,2 Rooms,2 adults,72 m²,"Paris, 6th Arrondissement","€5,556"
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3 Rooms,4 adults,55 m²,"Paris, 6th Arrondissement","€4,453"
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3 Rooms,4 adults,70 m²,"Paris, 6th Arrondissement","€3,910"
Saint Germain des Pres - Four 1 BD with A/C,2 Rooms,2 adults,55 m²,"Paris, 6th Arrondissement","€5,100"
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3 Rooms,4 adults,80 m²,"Paris, 6th Arrondissement","€6,333"
Apartment - 2 rooms- 30 sqm- Montparnasse,2 Rooms,2 adults,30 m²,"Paris, 6th Arrondissement","€2,174"
"A sumptuous 20 m² studio apartment, nestled in the heart of one of Paris's most exclusive districts, completely refurbished",1 Room,2 adults,20 m²,"Paris, 6th Arrondissement","€2,111"
Saint Germain des Prés - Penthouse View w/ AC,3 Rooms,4 adults,160 m²,"Paris, 6th Arrondissement","€25,920"
Charming Parisian Apartment in the Heart of the Left Bank,4 Rooms,5 adults,110 m²,"Paris, 6th Arrondissement","€10,555"
Saint Germain des Pres - Rennes II,4 Rooms,6 adults,145 m²,"Paris, 6th Arrondissement","€28,800"
Saint Germain des Prés - Prince 1 Bedroom,2 Rooms,3 adults,37 m²,"Paris, 6th Arrondissement","€4,788"
Quiet furnished apartment rental overlooking the garden,1 Room,2 adults,28 m²,"Paris, 6th Arrondissement","€1,600"
Luxembourg - Assas - 3 Bedrooms,3 Rooms,4 adults,95 m²,"Paris, 6th Arrondissement","€10,200"
Saint Germain Des Pres - Sevres Babylone,2 Rooms,4 adults,80 m²,"Paris, 6th Arrondissement","€16,200"
Modern flat in quiet street,1 Room,2 adults,34 m²,"Paris, 6th Arrondissement","€2,910"
Enchanting Parisian Retreat: A Cosy flat in the Heart of Saint Germain des Pres,2 Rooms,2 adults,26 m²,"Paris, 6th Arrondissement","€3,000"
